Date,"Article[Sentiment,Magnitude]"
10/9/14,"[[0.20000000298023224, 9.5], [0.0, 6.5], [0.0, 6.0], [0.0, 1.2000000476837158], [0.0, 10.199999809265137], [0.0, 2.9000000953674316], [-0.20000000298023224, 2.200000047683716], [0.20000000298023224, 4.300000190734863], [-0.20000000298023224, 4.699999809265137], [0.0, 13.100000381469727]]"
10/10/14,"[[-0.10000000149011612, 3.5999999046325684], [0.0, 2.299999952316284], [0.20000000298023224, 3.5999999046325684], [0.0, 4.900000095367432], [0.10000000149011612, 7.0], [0.20000000298023224, 4.400000095367432], [-0.10000000149011612, 8.699999809265137], [-0.10000000149011612, 3.4000000953674316], [0.0, 12.0], [0.0, 3.799999952316284]]"
10/11/14,"[[0.4000000059604645, 3.5999999046325684], [0.0, 1.7000000476837158]]"
10/12/14,"[[0.0, 4.300000190734863], [0.10000000149011612, 5.699999809265137], [-0.10000000149011612, 7.400000095367432], [-0.20000000298023224, 0.8999999761581421], [0.0, 8.100000381469727], [-0.30000001192092896, 25.799999237060547], [-0.20000000298023224, 5.5], [-0.10000000149011612, 7.900000095367432], [-0.20000000298023224, 5.199999809265137], [-0.10000000149011612, 14.899999618530273]]"
10/13/14,"[[-0.6000000238418579, 3.0], [-0.10000000149011612, 7.599999904632568], [0.0, 1.600000023841858], [0.0, 3.299999952316284], [-0.6000000238418579, 8.0], [0.30000001192092896, 2.5999999046325684], [0.10000000149011612, 5.300000190734863], [0.0, 9.300000190734863], [0.10000000149011612, 10.100000381469727], [-0.10000000149011612, 4.199999809265137]]"
10/14/14,"[[-0.5, 3.299999952316284], [0.10000000149011612, 3.700000047683716], [-0.30000001192092896, 7.599999904632568], [-0.10000000149011612, 11.0], [-0.30000001192092896, 5.400000095367432], [0.10000000149011612, 6.400000095367432], [0.0, 17.100000381469727], [-0.30000001192092896, 4.400000095367432], [0.10000000149011612, 4.800000190734863], [0.0, 19.200000762939453]]"
10/15/14,"[[-0.10000000149011612, 3.9000000953674316], [0.0, 17.399999618530273], [0.30000001192092896, 10.199999809265137], [0.0, 3.700000047683716], [-0.4000000059604645, 9.800000190734863], [0.20000000298023224, 6.900000095367432], [-0.20000000298023224, 9.699999809265137], [-0.30000001192092896, 2.0], [0.0, 7.800000190734863], [-0.5, 2.0]]"
10/16/14,"[[0.0, 6.599999904632568], [-0.10000000149011612, 2.5999999046325684], [-0.20000000298023224, 3.5999999046325684], [-0.20000000298023224, 10.899999618530273], [-0.20000000298023224, 13.5], [0.0, 8.699999809265137], [0.0, 2.5], [-0.20000000298023224, 21.200000762939453], [0.10000000149011612, 7.699999809265137], [-0.10000000149011612, 6.199999809265137]]"
10/17/14,"[[0.0, 6.5], [-0.4000000059604645, 5.199999809265137], [0.0, 13.899999618530273], [-0.30000001192092896, 6.699999809265137], [-0.4000000059604645, 6.300000190734863], [0.20000000298023224, 5.400000095367432], [0.0, 8.699999809265137], [-0.30000001192092896, 19.899999618530273], [0.0, 6.400000095367432], [0.10000000149011612, 9.199999809265137]]"
10/18/14,"[[0.0, 4.5], [-0.30000001192092896, 7.900000095367432], [-0.10000000149011612, 6.599999904632568], [0.0, 14.0], [0.20000000298023224, 9.800000190734863], [0.0, 5.599999904632568], [0.0, 7.300000190734863], [0.0, 11.699999809265137], [-0.20000000298023224, 7.5], [0.0, 13.800000190734863]]"
10/19/14,"[[0.0, 5.199999809265137], [-0.10000000149011612, 6.900000095367432], [-0.20000000298023224, 18.5], [0.20000000298023224, 6.199999809265137], [0.0, 8.100000381469727], [-0.10000000149011612, 6.5], [0.0, 17.399999618530273], [-0.10000000149011612, 3.5999999046325684], [0.10000000149011612, 4.300000190734863], [-0.10000000149011612, 6.900000095367432]]"
10/20/14,"[[0.0, 4.599999904632568], [0.0, 3.299999952316284], [0.0, 3.799999952316284], [-0.10000000149011612, 8.800000190734863], [0.0, 3.200000047683716], [0.0, 1.399999976158142], [-0.8999999761581421, 0.8999999761581421], [-0.10000000149011612, 6.400000095367432], [0.0, 3.5999999046325684], [0.0, 3.700000047683716]]"
10/21/14,"[[0.0, 2.9000000953674316], [0.0, 10.5], [0.0, 24.899999618530273], [0.0, 6.599999904632568], [0.0, 4.300000190734863], [-0.4000000059604645, 6.300000190734863], [0.30000001192092896, 6.400000095367432], [0.0, 5.900000095367432], [0.30000001192092896, 4.199999809265137], [0.0, 19.299999237060547]]"
10/22/14,"[[0.0, 4.900000095367432], [-0.10000000149011612, 2.9000000953674316], [0.20000000298023224, 2.9000000953674316], [0.20000000298023224, 2.799999952316284], [0.10000000149011612, 7.199999809265137], [-0.10000000149011612, 3.299999952316284], [0.30000001192092896, 1.2999999523162842], [0.10000000149011612, 2.5], [0.10000000149011612, 2.0], [0.0, 2.5]]"
10/23/14,"[[0.0, 5.900000095367432], [-0.5, 7.900000095367432], [0.0, 16.299999237060547], [0.0, 11.399999618530273], [0.0, 8.300000190734863], [-0.20000000298023224, 3.799999952316284], [0.0, 4.599999904632568], [0.0, 9.100000381469727], [0.10000000149011612, 1.100000023841858], [0.0, 2.0]]"
10/24/14,"[[-0.20000000298023224, 16.600000381469727], [0.4000000059604645, 5.199999809265137], [-0.6000000238418579, 8.199999809265137], [0.0, 2.299999952316284], [0.20000000298023224, 4.5], [0.0, 8.199999809265137], [0.20000000298023224, 5.300000190734863], [0.0, 20.700000762939453], [0.20000000298023224, 18.600000381469727], [0.20000000298023224, 7.599999904632568]]"
10/25/14,"[[0.30000001192092896, 14.899999618530273], [0.0, 17.100000381469727], [-0.20000000298023224, 4.400000095367432], [0.0, 13.199999809265137], [-0.20000000298023224, 10.0], [-0.30000001192092896, 3.5999999046325684], [0.0, 7.0], [0.0, 2.5999999046325684], [0.0, 4.0], [-0.5, 2.799999952316284]]"
10/26/14,"[[0.0, 14.399999618530273], [0.0, 15.300000190734863], [0.10000000149011612, 3.9000000953674316], [0.0, 14.699999809265137], [-0.20000000298023224, 12.0], [0.30000001192092896, 15.0], [-0.10000000149011612, 3.9000000953674316], [0.10000000149011612, 9.699999809265137], [0.0, 13.199999809265137], [-0.20000000298023224, 8.399999618530273]]"
10/27/14,"[[-0.10000000149011612, 3.0999999046325684], [-0.800000011920929, 0.800000011920929], [-0.20000000298023224, 5.300000190734863], [0.0, 2.299999952316284], [0.0, 4.699999809265137], [0.0, 6.699999809265137], [-0.10000000149011612, 6.099999904632568], [0.0, 4.400000095367432], [0.10000000149011612, 4.0], [0.10000000149011612, 6.300000190734863]]"
10/28/14,"[[-0.30000001192092896, 3.5], [0.0, 8.100000381469727], [0.0, 3.9000000953674316], [0.0, 5.0], [0.0, 13.800000190734863], [-0.10000000149011612, 7.900000095367432], [-0.20000000298023224, 7.900000095367432], [0.10000000149011612, 2.5999999046325684], [-0.4000000059604645, 5.699999809265137], [-0.30000001192092896, 8.399999618530273]]"
10/29/14,"[[0.20000000298023224, 6.900000095367432], [0.0, 3.200000047683716], [0.0, 5.199999809265137], [0.10000000149011612, 2.0], [0.0, 5.400000095367432], [-0.30000001192092896, 8.899999618530273], [0.0, 11.100000381469727], [0.0, 2.700000047683716], [-0.4000000059604645, 3.799999952316284], [0.20000000298023224, 8.899999618530273]]"
10/30/14,"[[0.20000000298023224, 4.900000095367432], [0.0, 4.0], [-0.5, 8.100000381469727], [0.0, 7.199999809265137], [-0.10000000149011612, 19.299999237060547], [0.10000000149011612, 2.299999952316284], [0.0, 3.700000047683716], [0.0, 3.700000047683716], [0.0, 3.5], [0.0, 4.199999809265137]]"
10/31/14,"[[0.10000000149011612, 1.600000023841858], [-0.30000001192092896, 3.200000047683716], [0.0, 4.900000095367432], [-0.10000000149011612, 22.399999618530273], [0.10000000149011612, 2.299999952316284], [-0.10000000149011612, 1.7000000476837158], [-0.5, 4.300000190734863], [0.20000000298023224, 5.5], [0.0, 6.099999904632568], [0.0, 1.7000000476837158]]"
11/1/14,"[[0.0, 7.400000095367432], [0.0, 0.6000000238418579], [0.30000001192092896, 2.299999952316284], [0.4000000059604645, 6.5], [0.30000001192092896, 4.5], [0.0, 7.900000095367432], [0.0, 6.400000095367432], [-0.4000000059604645, 3.200000047683716], [-0.5, 7.099999904632568], [0.10000000149011612, 8.100000381469727]]"
11/2/14,"[[0.10000000149011612, 4.300000190734863], [0.20000000298023224, 14.399999618530273], [0.30000001192092896, 4.5], [0.0, 8.300000190734863], [0.0, 11.100000381469727], [0.0, 30.600000381469727], [0.699999988079071, 2.9000000953674316], [0.0, 11.5], [-0.10000000149011612, 8.5]]"
11/3/14,"[[0.0, 11.899999618530273], [0.0, 2.299999952316284], [0.0, 3.0999999046325684], [0.10000000149011612, 4.0], [0.10000000149011612, 3.700000047683716], [0.30000001192092896, 8.699999809265137], [0.0, 18.899999618530273], [0.10000000149011612, 3.200000047683716], [0.0, 4.400000095367432], [0.10000000149011612, 6.5]]"
11/4/14,"[[0.30000001192092896, 2.700000047683716], [0.0, 7.5], [0.0, 1.399999976158142], [0.10000000149011612, 0.5], [0.10000000149011612, 7.800000190734863], [-0.30000001192092896, 11.699999809265137], [0.30000001192092896, 3.0], [0.20000000298023224, 5.199999809265137], [0.20000000298023224, 15.399999618530273], [0.0, 5.300000190734863]]"
11/5/14,"[[-0.4000000059604645, 7.099999904632568], [-0.4000000059604645, 2.9000000953674316], [0.20000000298023224, 17.5], [0.0, 7.0], [0.0, 7.300000190734863], [0.0, 11.800000190734863], [0.4000000059604645, 1.2000000476837158], [-0.30000001192092896, 5.199999809265137], [0.0, 35.70000076293945], [-0.10000000149011612, 11.199999809265137]]"
11/6/14,"[[-0.30000001192092896, 9.600000381469727], [0.0, 8.300000190734863], [-0.10000000149011612, 10.199999809265137], [0.10000000149011612, 8.600000381469727], [-0.20000000298023224, 9.199999809265137], [0.0, 1.600000023841858], [-0.10000000149011612, 8.699999809265137], [0.0, 2.5999999046325684], [0.0, 2.5], [0.30000001192092896, 4.400000095367432]]"
11/7/14,"[[0.0, 4.400000095367432], [0.0, 8.600000381469727], [-0.30000001192092896, 7.0], [-0.5, 2.299999952316284], [0.0, 14.300000190734863], [0.0, 3.200000047683716], [-0.30000001192092896, 5.199999809265137], [0.20000000298023224, 7.599999904632568], [0.0, 100.4000015258789]]"
11/8/14,"[[-0.10000000149011612, 2.0999999046325684], [-0.10000000149011612, 6.199999809265137], [-0.30000001192092896, 7.699999809265137], [0.0, 5.599999904632568], [0.20000000298023224, 1.399999976158142], [0.0, 12.0], [-0.5, 3.799999952316284], [-0.10000000149011612, 14.5], [-0.10000000149011612, 6.0], [-0.10000000149011612, 8.600000381469727]]"
